Symbol	Name	Price (Intraday)	Change	% Change	Volume	Avg Vol (3 month)	Market Cap	PE Ratio (TTM)	52 Week Range
NVO	Novo Nordisk A/S	157.90	-0.68	-0.43%	1.332M	1.413M	357.143B	44.11	
REGN	Regeneron Pharmaceuticals, Inc.	825.22	+3.13	+0.38%	560,037	649,839	89.72B	21.48	
VRTX	Vertex Pharmaceuticals Incorporated	321.94	+7.52	+2.39%	1.126M	1.278M	82.768B	25.01	
MRNA	Moderna, Inc.	154.61	-1.91	-1.22%	2.279M	3.565M	60.366B	7.64	
SGEN	Seagen Inc.	205.00	+0.11	+0.05%	2.128M	1.452M	38.358B	N/A	
BNTX	BioNTech SE	125.60	-0.27	-0.21%	333,188	665,637	30.334B	3.16	
ALNY	Alnylam Pharmaceuticals, Inc.	200.82	-1.88	-0.93%	615,599	811,222	25.195B	N/A	
GMAB	Genmab A/S	38.28	+0.76	+2.03%	471,228	527,804	24.967B	30.87	
BGNE	BeiGene, Ltd.	212.00	-3.00	-1.40%	102,047	233,206	22.585B	N/A	
ARGX	argenx SE	373.18	+5.71	+1.55%	202,673	225,313	20.738B	N/A	
BMRN	BioMarin Pharmaceutical Inc.	96.57	+1.14	+1.19%	1.042M	1.479M	18.013B	130.50	
INCY	Incyte Corporation	73.78	+1.13	+1.56%	1.493M	1.609M	16.45B	48.22	
RPRX	Royalty Pharma plc	36.27	+0.63	+1.77%	1.376M	1.942M	16.074B	362.70	
SRPT	Sarepta Therapeutics, Inc.	137.54	-1.04	-0.75%	857,976	1.409M	12.192B	N/A	
TECH	Bio-Techne Corporation	74.04	+0.24	+0.33%	1.029M	986,891	11.645B	45.99	
UTHR	United Therapeutics Corporation	232.99	+5.81	+2.56%	520,591	553,750	10.788B	15.01	
JAZZ	Jazz Pharmaceuticals plc	145.78	+1.79	+1.24%	680,705	523,488	9.285B	N/A	
APLS	Apellis Pharmaceuticals, Inc.	77.32	-0.72	-0.92%	1.688M	1.765M	8.685B	N/A	
LEGN	Legend Biotech Corporation	48.17	+1.89	+4.08%	698,223	633,995	7.951B	N/A	
EXEL	Exelixis, Inc.	19.89	+0.34	+1.74%	3.413M	3.279M	6.446B	35.52	
IONS	Ionis Pharmaceuticals, Inc.	36.59	+1.24	+3.51%	1.194M	937,406	5.231B	N/A	
RXDX	Prometheus Biosciences, Inc.	108.58	-0.03	-0.03%	366,856	489,731	5.161B	N/A	
HALO	Halozyme Therapeutics, Inc.	37.43	-0.04	-0.11%	1.204M	1.627M	5.069B	25.64	
MDGL	Madrigal Pharmaceuticals, Inc.	236.74	-3.84	-1.60%	191,040	405,380	4.294B	N/A	
ASND	Ascendis Pharma A/S	71.19	-0.24	-0.34%	1.998M	441,293	4.069B	N/A	
ISEE	IVERIC bio, Inc.	26.43	+0.19	+0.72%	1.209M	2.467M	3.624B	N/A	
MRVI	Maravai LifeSciences Holdings, Inc.	13.52	-0.04	-0.29%	775,304	1.279M	3.568B	8.05	
PTCT	PTC Therapeutics, Inc.	47.45	-0.05	-0.11%	351,222	745,483	3.508B	N/A	
CYTK	Cytokinetics, Incorporated	36.16	-0.17	-0.47%	520,596	1.002M	3.441B	N/A	
DNLI	Denali Therapeutics Inc.	24.11	+0.45	+1.90%	793,800	700,788	3.336B	N/A	
