Symbol	Name	Price (Intraday)	Change	% Change	Market Cap	Volume in Currency (Since 0:00 UTC)	Volume in Currency (24Hr)	Total Volume All Currencies (24Hr)	Circulating Supply	52 Week Range	Day Chart
Bitcoin USDBTC-USD	Bitcoin USD	27,894.06	-209.01	-0.74%	539.465B	11.431B	11.431B	11.431B	19.34M		
Ethereum USDETH-USD	Ethereum USD	1,854.44	-23.71	-1.26%	223.382B	8.55B	8.55B	8.55B	120.458M		
Tether USDUSDT-USD	Tether USD	1.0006	+0.0004	+0.04%	80.247B	20.292B	20.292B	20.292B	80.195B		
BNB USDBNB-USD	BNB USD	310.73	-2.46	-0.79%	49.059B	479.228M	479.228M	479.228M	157.887M		
USD Coin USDUSDC-USD	USD Coin USD	0.999888	+0.000148	+0.01%	32.694B	3.124B	3.124B	3.124B	32.698B		
XRP USDXRP-USD	XRP USD	0.506556	-0.000406	-0.08%	26.183B	1.047B	1.047B	1.047B	51.688B		
Cardano USDADA-USD	Cardano USD	0.382335	-0.003590	-0.93%	13.288B	192.945M	192.945M	192.945M	34.754B		
HEX USDHEX-USD	HEX USD	0.068944	-0.007665	-10.01%	11.956B	19.159M	19.159M	19.159M	173.411B		
Dogecoin USDDOGE-USD	Dogecoin USD	0.082269	-0.008066	-8.93%	11.422B	1.274B	1.274B	1.274B	138.842B		
Lido Staked ETH USDSTETH-USD	Lido Staked ETH USD	1,857.65	-21.88	-1.16%	10.999B	8.594M	8.594M	8.594M	5.921M		
Polygon USDMATIC-USD	Polygon USD	1.1068	-0.0195	-1.73%	10.05B	203.437M	203.437M	203.437M	9.08B		
Solana USDSOL-USD	Solana USD	20.49	-0.30	-1.43%	7.948B	185.134M	185.134M	185.134M	387.941M		
Polkadot USDDOT-USD	Polkadot USD	6.1838	-0.1807	-2.84%	7.287B	157.813M	157.813M	157.813M	1.178B		
Binance USD USDBUSD-USD	Binance USD USD	0.999860	-0.000194	-0.02%	7.07B	2.171B	2.171B	2.171B	7.07B		
Wrapped TRON USDWTRX-USD	Wrapped TRON USD	0.065922	-0.000066	-0.10%	6.703B	717,509	717,509	717,509	101.676B		
Litecoin USDLTC-USD	Litecoin USD	90.36	-1.01	-1.11%	6.565B	414.187M	414.187M	414.187M	72.653M		
Shiba Inu USDSHIB-USD	Shiba Inu USD	0.000011	-0.000000	-1.73%	6.441B	158.558M	158.558M	158.558M	589.543T		
TRON USDTRX-USD	TRON USD	0.066157	+0.000196	+0.30%	6.015B	179.331M	179.331M	179.331M	90.922B		
